Show_Id,Category,Title,Release_Date,Duration,Type
s775,Movie,Bbuddah Hoga Terra Baap,2020-07-05,116 min,"Action & Adventure, Comedies, Dramas"
s867,Movie,Bewafaa,2019-07-21,149 min,"Dramas, International Movies, Romantic Movies"
s883,Movie,Bhagam Bhag,2019-12-31,151 min,"Comedies, International Movies, Romantic Movies"
s892,Movie,Bhool Bhulaiyaa,2017-10-22,148 min,"Dramas, International Movies, Thrillers"
s893,Movie,Bhoot,2019-12-31,114 min,"Horror Movies, International Movies, Thrillers"
s951,Movie,Black Friday,2020-11-19,162 min,"Dramas, International Movies"
s988,Movie,Blood Money,2020-07-05,110 min,"Dramas, International Movies, Romantic Movies"
s1005,Movie,BluffMaster!,2021-01-08,129 min,"Comedies, International Movies, Romantic Movies"
s1017,Movie,Bobby,2019-12-31,168 min,"Classic Movies, Dramas, International Movies"
s1034,Movie,Bombay Talkies,2020-07-05,123 min,"Dramas, International Movies"
s1060,Movie,Boss,2020-07-05,139 min,"Action & Adventure, Comedies, Dramas"
s1087,Movie,Break Ke Baad,2020-11-19,108 min,"Comedies, International Movies, Music & Musicals"
s1258,Movie,Chaahat,2017-05-01,148 min,"Dramas, International Movies, Romantic Movies"
s1263,Movie,Chal Mere Bhai,2019-12-31,132 min,"Comedies, International Movies, Romantic Movies"
s1266,Movie,Chalte Chalte,2018-07-01,166 min,"Dramas, International Movies, Romantic Movies"
s1268,Movie,Chamatkar,2017-05-15,164 min,"Comedies, International Movies, Sci-Fi & Fantasy"
s1384,Movie,Chup Chup Ke,2018-11-01,158 min,"Comedies, Dramas, International Movies"
s1386,Movie,Chupke Chupke,2019-12-31,127 min,"Classic Movies, Comedies, International Movies"
s1478,Movie,Company,2018-03-01,137 min,"Action & Adventure, Dramas, International Movies"
s1596,Movie,Dangal,2017-06-21,161 min,"Dramas, International Movies, Sports Movies"
s1622,Movie,Darna Mana Hai,2019-08-01,116 min,"Horror Movies, International Movies, Thrillers"
s1668,Movie,Dear Zindagi,2017-04-25,149 min,"Comedies, Dramas, International Movies"
s1679,Movie,Dedh Ishqiya,2020-09-28,146 min,"Comedies, Dramas, International Movies"
s1684,Movie,Deewangee,2020-01-03,156 min,"International Movies, Thrillers"
s1690,Movie,Delhi 6,2018-10-01,128 min,"Dramas, International Movies"
s1691,Movie,Delhi Belly,2021-01-10,101 min,"Action & Adventure, Comedies, International Movies"
s1733,Movie,Dhamaal,2019-12-31,128 min,"Action & Adventure, Comedies, International Movies"
s1758,Movie,Dil Chahta Hai,2019-12-15,185 min,"Comedies, Dramas, International Movies"
s1759,Movie,Dil Dhadakne Do,2019-12-15,174 min,"Comedies, Dramas, International Movies"
s1760,Movie,Dil Hai Tumhaara,2018-04-01,176 min,"Dramas, International Movies, Music & Musicals"
s1761,Movie,Dil Se,2018-03-01,166 min,"Dramas, International Movies, Romantic Movies"
s1762,Movie,Dil Vil Pyaar Vyaar,2018-10-01,145 min,"International Movies, Music & Musicals, Romantic Movies"
s1765,Movie,Dilwale,2017-02-01,154 min,"Action & Adventure, Dramas, International Movies"
s1778,Movie,Disco Dancer,2020-10-12,134 min,"Cult Movies, Dramas, International Movies"
s1791,Movie,Do Dooni Chaar,2018-11-01,106 min,"Comedies, International Movies"
s1808,Movie,Don,2019-12-15,169 min,"Action & Adventure, International Movies"
s1878,Movie,Drishyam,2020-07-05,162 min,"Dramas, International Movies, Thrillers"
s1897,Movie,Duplicate,2020-04-01,165 min,"Comedies, Dramas, International Movies"
s1937,Movie,Ek Hasina Thi,2019-08-01,134 min,"Dramas, International Movies, Thrillers"
s1939,Movie,Ek Khiladi Ek Haseena,2019-04-15,141 min,"International Movies, Music & Musicals, Thrillers"
s2120,Movie,Fashion,2018-08-02,158 min,"Dramas, International Movies"
s2150,Movie,Ferrari Ki Sawaari,2019-08-01,133 min,"Comedies, International Movies, Sports Movies"
s2152,Movie,Fida,2020-10-13,117 min,"International Movies, Romantic Movies, Thrillers"
s2201,Movie,Fiza,2018-08-02,163 min,"Dramas, International Movies, Music & Musicals"
s2235,Movie,Force 2,2017-02-27,123 min,"Action & Adventure, International Movies"
s2306,Movie,Fukrey,2019-12-15,135 min,"Action & Adventure, Comedies, Dramas"
s2327,Movie,Gabbar Is Back,2020-07-05,128 min,"Action & Adventure, Dramas, International Movies"
s2350,Movie,Gangaajal,2021-01-08,148 min,"Dramas, International Movies"
s2394,Movie,Ghayal,2019-12-31,163 min,"Action & Adventure, Dramas, International Movies"
s2471,Movie,Golmaal Returns,2020-09-28,135 min,"Comedies, International Movies, Music & Musicals"
s2472,Movie,Golmaal: Fun Unlimited,2019-12-31,148 min,"Comedies, International Movies"
s2559,Movie,Guru,2018-03-01,155 min,"Dramas, International Movies"
s2562,Movie,Guzaarish,2018-08-02,121 min,"Dramas, International Movies"
s2576,Movie,Haider,2018-08-02,154 min,"Dramas, International Movies, Romantic Movies"
s2584,Movie,Half Girlfriend,2020-01-02,129 min,"Dramas, International Movies, Romantic Movies"
s2643,Movie,Hasee Toh Phasee,2020-04-01,135 min,"Comedies, Dramas, International Movies"
s2644,Movie,Haseena Maan Jaayegi,2018-03-01,151 min,"Action & Adventure, Comedies, Dramas"
s2693,Movie,Hello Brother,2021-01-04,126 min,"Action & Adventure, Comedies, International Movies"
s2704,Movie,Hera Pheri,2019-12-31,156 min,"Action & Adventure, Comedies, Dramas"
s2712,Movie,Heroine,2018-11-01,143 min,"Dramas, International Movies"
s2744,Movie,Himmatwala,2018-11-01,140 min,"Action & Adventure, Comedies, International Movies"
s2860,Movie,Hum Aapke Hain Koun,2020-02-01,193 min,"Classic Movies, Dramas, International Movies"
s2861,Movie,Hum Saath-Saath Hain,2018-01-01,176 min,"Dramas, International Movies, Music & Musicals"
s2863,Movie,Humko Deewana Kar Gaye,2017-10-22,149 min,"International Movies, Music & Musicals, Romantic Movies"
s2864,Movie,Humpty Sharma Ki Dulhania,2020-04-01,131 min,"Comedies, International Movies, Romantic Movies"
s3065,Movie,Ishq Vishk,2020-09-28,129 min,"Comedies, International Movies, Music & Musicals"
s3094,Movie,Jaane Tu... Ya Jaane Na,2021-01-10,147 min,"Comedies, International Movies, Music & Musicals"
s3095,Movie,Jab Harry Met Sejal,2017-12-02,142 min,"Comedies, International Movies, Romantic Movies"
s3096,Movie,Jab We Met,2020-09-28,143 min,"Comedies, International Movies, Music & Musicals"
s3111,Movie,Jagga Jasoos,2018-10-01,155 min,"Action & Adventure, Comedies, International Movies"
s3164,Movie,Jhankaar Beats,2019-04-15,131 min,"Comedies, International Movies, Music & Musicals"
s3196,Movie,Jodhaa Akbar,2018-10-01,214 min,"Action & Adventure, Dramas, International Movies"
s3234,Movie,Judwaa,2019-12-31,133 min,"Comedies, International Movies, Romantic Movies"
s3235,Movie,Judwaa 2,2018-03-01,145 min,"Action & Adventure, Comedies, International Movies"
s3271,Movie,Kaabil,2017-06-25,139 min,"Dramas, International Movies"
s3275,Movie,Kaal,2020-04-01,126 min,"Horror Movies, International Movies, Thrillers"
s3277,Movie,Kaalia,2019-12-31,173 min,"Action & Adventure, Dramas, International Movies"
s3281,Movie,Kabhi Alvida Naa Kehna,2020-04-01,192 min,"Dramas, International Movies, Romantic Movies"
s3282,Movie,Kabhi Haan Kabhi Naa,2017-05-15,151 min,"Comedies, Dramas, International Movies"
s3283,Movie,Kabhi Khushi Kabhie Gham,2020-04-01,209 min,"Dramas, International Movies"
s3284,Movie,Kabir Singh,2019-09-19,171 min,"Dramas, International Movies, Romantic Movies"
s3285,Movie,Kacche Dhaagey,2017-11-01,120 min,"Dramas, International Movies, Romantic Movies"
s3288,Movie,Kai Po Che!,2018-11-01,120 min,"Dramas, International Movies, Sports Movies"
s3291,Movie,Kal Ho Naa Ho,2020-04-01,187 min,"Comedies, Dramas, International Movies"
s3296,Movie,Kalki,2018-03-01,41 min,"Dramas, Independent Movies, International Movies"
s3298,Movie,Kaminey,2018-10-01,128 min,"Dramas, International Movies, Music & Musicals"
s3304,Movie,Kapoor & Sons,2020-04-01,138 min,"Comedies, Dramas, International Movies"
s3310,Movie,Karthik Calling Karthik,2019-12-15,135 min,"Dramas, International Movies, Thrillers"
s3360,Movie,Khosla Ka Ghosla,2018-08-02,124 min,"Comedies, Dramas, International Movies"
s3411,Movie,Kismat Konnection,2018-10-01,145 min,"Comedies, International Movies, Music & Musicals"
s3456,Movie,Krishna Cottage,2019-05-31,124 min,"Action & Adventure, Horror Movies, International Movies"
s3460,Movie,Kucch To Hai,2019-05-15,136 min,"Dramas, International Movies, Thrillers"
s3461,Movie,Kuch Kuch Hota Hai,2020-04-01,185 min,"Comedies, Dramas, International Movies"
s3482,Movie,Kyo Kii... Main Jhuth Nahin Bolta,2019-05-16,150 min,"Comedies, International Movies, Sci-Fi & Fantasy"
s3522,Movie,Lagaan,2021-01-10,224 min,"Dramas, International Movies, Music & Musicals"
s3525,Movie,Lakshya,2019-12-15,185 min,"Action & Adventure, Dramas, International Movies"
s3526,Movie,Lal Patthar,2017-07-01,153 min,"Classic Movies, Dramas, International Movies"
s3625,Movie,Life in a ... Metro,2018-11-01,126 min,"Dramas, International Movies, Music & Musicals"
s3744,Movie,Love Aaj Kal,2020-04-27,140 min,"Dramas, International Movies, Romantic Movies"
s3809,Movie,Luck by Chance,2019-12-15,156 min,"Dramas, International Movies, Romantic Movies"
s3843,Movie,Madaari,2017-02-17,134 min,"Dramas, Independent Movies, International Movies"
s3873,Movie,Main Hoon Na,2018-04-01,171 min,"Action & Adventure, Comedies, Dramas"
s3874,Movie,"Main, Meri Patni Aur Woh",2018-10-01,129 min,"Comedies, Dramas, International Movies"
s3875,Movie,Maine Pyaar Kyun Kiya,2019-12-31,137 min,"Comedies, International Movies, Music & Musicals"
s3876,Movie,Maine Pyar Kiya,2018-01-01,192 min,"Dramas, International Movies, Music & Musicals"
s4165,Movie,Mohenjo Daro,2018-08-02,168 min,"Action & Adventure, Dramas, International Movies"
s4274,Movie,Mujhse Shaadi Karogi,2019-12-31,158 min,"Comedies, International Movies, Romantic Movies"
s4396,Movie,Namak Halaal,2019-12-31,171 min,"Action & Adventure, Comedies, International Movies"
s4397,Movie,Namastey London,2018-07-01,130 min,"Comedies, Dramas, International Movies"
s4609,Movie,Om Shanti Om,2018-04-01,169 min,"Comedies, Dramas, International Movies"
s4634,Movie,Once Upon a Time in Mumbaai,2019-05-15,133 min,"Dramas, International Movies, Music & Musicals"
s4635,Movie,Once Upon a Time in Mumbai Dobaara!,2019-05-16,142 min,"Dramas, International Movies, Music & Musicals"
s4637,Movie,One 2 Ka 4,2017-03-15,160 min,"Action & Adventure, Comedies, Dramas"
s4962,Movie,Prem Ratan Dhan Payo,2020-06-25,164 min,"Action & Adventure, Dramas, International Movies"
s5015,Movie,Pyaar Ka Punchnama,2017-05-01,149 min,"Comedies, Dramas, International Movies"
s5016,Movie,Pyaar Ka Punchnama 2,2020-07-05,136 min,"Comedies, Dramas, International Movies"
s5017,Movie,Pyaar Ke Side Effects,2019-02-15,120 min,"Comedies, International Movies, Romantic Movies"
s5053,Movie,Race,2018-10-01,155 min,"Action & Adventure, International Movies, Music & Musicals"
s5054,Movie,Race 2,2018-10-01,139 min,"Action & Adventure, International Movies, Music & Musicals"
s5061,Movie,Raees,2017-05-26,143 min,"Action & Adventure, Dramas, International Movies"
